[Turn 0] Initialized game with Red: bots/eric/IronChefOptimized.py, Blue: bots/eric/IronChefOptimized.py
[Turn 4] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 4] Bot 4 (BLUE): Pos=(4,33) Holding=None
[Turn 4] Bot 5 (BLUE): Pos=(34,32) Holding=None
[Turn 4] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 4] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 5] Bot 0 (RED): Pos=(5,32) Holding=None
[Turn 5] Bot 1 (RED): Pos=(33,32) Holding=None
[Turn 5] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 5] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 5] Bot 4 (BLUE): Pos=(5,32) Holding=None
[Turn 5] Bot 5 (BLUE): Pos=(33,32) Holding=None
[Turn 5] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 5] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 6] Bot 0 (RED): Pos=(5,32) Holding=MEAT(Ck:0)
[Turn 6] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 6] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 6] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 6] Bot 4 (BLUE): Pos=(5,32) Holding=MEAT(Ck:0)
[Turn 6] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 6] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 6] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 7] Bot 0 (RED): Pos=(5,32) Holding=MEAT(Ck:0)
[Turn 7] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 7] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 7] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 7] Bot 4 (BLUE): Pos=(5,32) Holding=MEAT(Ck:0)
[Turn 7] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 7] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 7] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 8] Bot 0 (RED): Pos=(6,33) Holding=MEAT(Ck:0)
[Turn 8] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 8] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 8] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 8] Bot 4 (BLUE): Pos=(6,33) Holding=MEAT(Ck:0)
[Turn 8] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 8] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 8] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 9] Bot 0 (RED): Pos=(7,33) Holding=MEAT(Ck:0)
[Turn 9] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 9] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 9] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 9] Bot 4 (BLUE): Pos=(7,33) Holding=MEAT(Ck:0)
[Turn 9] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 9] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 9] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 10] Bot 0 (RED): Pos=(8,34) Holding=MEAT(Ck:0)
[Turn 10] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 10] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 10] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 10] Bot 4 (BLUE): Pos=(8,34) Holding=MEAT(Ck:0)
[Turn 10] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 10] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 10] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 11] Bot 0 (RED): Pos=(9,35) Holding=MEAT(Ck:0)
[Turn 11] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 11] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 11] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 11] Bot 4 (BLUE): Pos=(9,35) Holding=MEAT(Ck:0)
[Turn 11] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 11] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 11] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 12] Bot 0 (RED): Pos=(9,35) Holding=None
[Turn 12] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 12] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 12] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 12] Bot 4 (BLUE): Pos=(9,35) Holding=None
[Turn 12] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 12] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 12] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 13] Bot 0 (RED): Pos=(9,35) Holding=None
[Turn 13] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 13] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 13] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 13] Bot 4 (BLUE): Pos=(9,35) Holding=None
[Turn 13] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 13] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 13] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 14] Bot 0 (RED): Pos=(9,35) Holding=None
[Turn 14] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 14] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 14] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 14] Bot 4 (BLUE): Pos=(9,35) Holding=None
[Turn 14] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 14] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 14] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 15] Bot 0 (RED): Pos=(9,35) Holding=MEAT(CHOPPED)(Ck:0)
[Turn 15] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 15] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 15] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 15] Bot 4 (BLUE): Pos=(9,35) Holding=MEAT(CHOPPED)(Ck:0)
[Turn 15] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 15] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 15] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 16] Bot 0 (RED): Pos=(9,35) Holding=None
[Turn 16] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 16] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 16] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 16] Bot 4 (BLUE): Pos=(9,35) Holding=None
[Turn 16] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 16] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 16] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 17] Bot 0 (RED): Pos=(8,34) Holding=None
[Turn 17] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 17] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 17] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 17] Bot 4 (BLUE): Pos=(8,34) Holding=None
[Turn 17] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 17] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 17] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 18] Bot 0 (RED): Pos=(7,33) Holding=None
[Turn 18] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 18] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 18] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 18] Bot 4 (BLUE): Pos=(7,33) Holding=None
[Turn 18] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 18] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 18] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 19] Bot 0 (RED): Pos=(7,33) Holding=Plate[]
[Turn 19] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 19] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 19] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 19] Bot 4 (BLUE): Pos=(7,33) Holding=Plate[]
[Turn 19] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 19] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 19] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 20] Bot 0 (RED): Pos=(7,33) Holding=Plate[]
[Turn 20] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 20] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 20] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 20] Bot 4 (BLUE): Pos=(7,33) Holding=Plate[]
[Turn 20] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 20] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 20] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 21] Bot 0 (RED): Pos=(8,34) Holding=Plate[]
[Turn 21] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 21] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 21] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 21] Bot 4 (BLUE): Pos=(8,34) Holding=Plate[]
[Turn 21] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 21] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 21] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 22] Bot 0 (RED): Pos=(9,35) Holding=Plate[]
[Turn 22] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 22] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 22] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 22] Bot 4 (BLUE): Pos=(9,35) Holding=Plate[]
[Turn 22] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 22] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 22] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 23] Bot 0 (RED): Pos=(9,35) Holding=None
[Turn 23] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 23] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 23] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 23] Bot 4 (BLUE): Pos=(9,35) Holding=None
[Turn 23] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 23] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 23] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 24] Bot 0 (RED): Pos=(8,34) Holding=None
[Turn 24] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 24] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 24] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 24] Bot 4 (BLUE): Pos=(8,34) Holding=None
[Turn 24] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 24] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 24] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 25] Bot 0 (RED): Pos=(7,33) Holding=None
[Turn 25] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 25] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 25] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 25] Bot 4 (BLUE): Pos=(7,33) Holding=None
[Turn 25] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 25] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 25] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 26] Bot 0 (RED): Pos=(7,33) Holding=NOODLES(Ck:0)
[Turn 26] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 26] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 26] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 26] Bot 4 (BLUE): Pos=(7,33) Holding=NOODLES(Ck:0)
[Turn 26] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 26] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 26] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 27] Bot 0 (RED): Pos=(7,33) Holding=NOODLES(Ck:0)
[Turn 27] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 27] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 27] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 27] Bot 4 (BLUE): Pos=(7,33) Holding=NOODLES(Ck:0)
[Turn 27] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 27] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 27] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 28] Bot 0 (RED): Pos=(8,34) Holding=NOODLES(Ck:0)
[Turn 28] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 28] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 28] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 28] Bot 4 (BLUE): Pos=(8,34) Holding=NOODLES(Ck:0)
[Turn 28] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 28] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 28] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 29] Bot 0 (RED): Pos=(9,35) Holding=NOODLES(Ck:0)
[Turn 29] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 29] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 29] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 29] Bot 4 (BLUE): Pos=(9,35) Holding=NOODLES(Ck:0)
[Turn 29] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 29] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 29] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 30] Bot 0 (RED): Pos=(9,35) Holding=None
[Turn 30] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 30] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 30] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 30] Bot 4 (BLUE): Pos=(9,35) Holding=None
[Turn 30] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 30] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 30] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 31] Bot 0 (RED): Pos=(9,35) Holding=None
[Turn 31] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 31] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 31] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 31] Bot 4 (BLUE): Pos=(9,35) Holding=None
[Turn 31] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 31] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 31] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 32] Bot 0 (RED): Pos=(9,35) Holding=None
[Turn 32] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 32] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 32] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 32] Bot 4 (BLUE): Pos=(9,35) Holding=None
[Turn 32] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 32] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 32] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 33] Bot 0 (RED): Pos=(9,35) Holding=None
[Turn 33] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 33] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 33] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 33] Bot 4 (BLUE): Pos=(9,35) Holding=None
[Turn 33] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 33] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 33] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 34] Bot 0 (RED): Pos=(9,35) Holding=None
[Turn 34] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 34] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 34] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 34] Bot 4 (BLUE): Pos=(9,35) Holding=None
[Turn 34] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 34] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 34] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 35] Bot 0 (RED): Pos=(9,35) Holding=None
[Turn 35] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 35] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 35] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 35] Bot 4 (BLUE): Pos=(9,35) Holding=None
[Turn 35] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 35] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 35] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 36] Bot 0 (RED): Pos=(9,35) Holding=MEAT(CHOPPED)(Ck:1)
[Turn 36] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 36] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 36] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 36] Bot 4 (BLUE): Pos=(9,35) Holding=MEAT(CHOPPED)(Ck:1)
[Turn 36] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 36] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 36] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 37] Bot 0 (RED): Pos=(9,35) Holding=None
[Turn 37] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 37] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 37] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 37] Bot 4 (BLUE): Pos=(9,35) Holding=None
[Turn 37] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 37] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 37] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 38] Bot 0 (RED): Pos=(9,35) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 38] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 38] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 38] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 38] Bot 4 (BLUE): Pos=(9,35) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 38] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 38] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 38] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 39] Bot 0 (RED): Pos=(8,34) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 39] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 39] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 39] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 39] Bot 4 (BLUE): Pos=(8,34) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 39] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 39] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 39] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 40] Bot 0 (RED): Pos=(7,33) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 40] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 40] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 40] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 40] Bot 4 (BLUE): Pos=(7,33) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 40] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 40] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 40] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 41] Bot 0 (RED): Pos=(7,32) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 41] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 41] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 41] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 41] Bot 4 (BLUE): Pos=(7,32) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 41] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 41] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 41] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 42] Bot 0 (RED): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 42] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 42] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 42] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 42] Bot 4 (BLUE): Pos=(6,31) Holding=Plate['NOODLES(Raw)', 'MEAT(Ck)']
[Turn 42] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 42] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 42] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 43] Bot 0 (RED): Pos=(6,31) Holding=None
[Turn 43] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 43] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 43] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 43] Bot 4 (BLUE): Pos=(6,31) Holding=None
[Turn 43] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 43] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 43] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 44] Bot 0 (RED): Pos=(6,31) Holding=None
[Turn 44] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 44] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 44] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 44] Bot 4 (BLUE): Pos=(6,31) Holding=None
[Turn 44] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 44] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 44] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 45] Bot 0 (RED): Pos=(6,31) Holding=MEAT(Ck:0)
[Turn 45] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 45] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 45] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 45] Bot 4 (BLUE): Pos=(6,31) Holding=MEAT(Ck:0)
[Turn 45] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 45] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 45] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 46] Bot 0 (RED): Pos=(6,31) Holding=MEAT(Ck:0)
[Turn 46] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 46] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 46] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 46] Bot 4 (BLUE): Pos=(6,31) Holding=MEAT(Ck:0)
[Turn 46] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 46] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 46] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 47] Bot 0 (RED): Pos=(7,32) Holding=MEAT(Ck:0)
[Turn 47] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 47] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 47] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 47] Bot 4 (BLUE): Pos=(7,32) Holding=MEAT(Ck:0)
[Turn 47] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 47] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 47] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 48] Bot 0 (RED): Pos=(7,33) Holding=MEAT(Ck:0)
[Turn 48] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 48] Bot 2 (BLUE): Pos=(1,1) Holding=None
[Turn 48] Bot 3 (BLUE): Pos=(38,1) Holding=None
[Turn 48] Bot 4 (BLUE): Pos=(7,33) Holding=MEAT(Ck:0)
[Turn 48] Bot 5 (BLUE): Pos=(32,33) Holding=None
[Turn 48] Bot 6 (BLUE): Pos=(1,1) Holding=None
[Turn 48] Bot 7 (BLUE): Pos=(38,1) Holding=None
[Turn 49] Bot 0 (RED): Pos=(8,34) Holding=MEAT(Ck:0)
[Turn 49] Bot 1 (RED): Pos=(32,33) Holding=None
[Turn 49] Bot 2 (BLUE): Pos=(1,1) Holding=None
